7	0.47272	-1.7132	-0.91622	-0.13158	0.43367	0.73121
12	0.27398	-1.9593	-0.67495	0.18987	0.61674	0.83752
44	1.9566	-0.65056	0.64208	-0.47996	-0.71125	-0.77451
74	1.6297	-0.675	0.79527	0.40408	-0.15326	-0.81641
94	2.0803	-0.14067	-0.41726	0.36838	-0.41782	-0.53191
101	1.8947	-0.49706	0.010273	0.63779	-0.19132	-0.92995
104	2.0453	-0.199	-0.30542	0.46377	-0.70986	-0.8989
137	-0.71756	1.3112	1.4442	0.18319	-0.72731	-0.71657
200	-1.4084	-1.4172	0.55725	0.12239	1.0254	0.60037
202	-1.3894	-0.77525	-0.24693	-0.1519	0.019656	0.9994
274	0.039085	-1.2469	-1.3708	-0.16835	0.9985	0.80046
294	-1.1578	-0.3159	-0.56273	-0.50263	-0.165	0.96003
347	-0.98481	1.0096	1.565	0.056663	-0.89963	-0.85839
358	1.7553	-0.78287	0.30377	0.31512	1.2893	-0.041177
370	1.7573	-0.84057	0.037734	0.97375	1.0537	0.22368
378	-0.61324	-1.7694	0.86717	0.94204	0.8926	-0.10385
387	-1.7678	-0.10185	-0.34486	0.12234	1.3148	0.98013
390	-1.8277	-0.76489	0.038905	0.28348	1.1715	0.45849
412	1.8145	-0.32953	-0.47918	-0.87703	-0.91596	-0.081485
413	1.9959	-0.37514	-0.26375	-1.0953	-0.68104	0.044522
419	2.121	-0.44428	-0.23897	-0.23089	-0.84573	-0.63496
426	-1.4938	-1.2086	-0.14522	-0.83707	-0.65204	0.32055
432	1.6582	-0.35149	-0.31436	-0.8423	-1.1318	-0.03614
434	1.6474	-0.15419	-0.77023	-0.81747	-1.021	0.14786
436	-0.04003	-0.90392	-0.36897	-0.50931	-0.45749	0.14539
441	1.7801	-0.22868	-0.63547	-0.80128	-0.9181	-0.13095
449	1.855	-0.48896	0.36956	-0.64939	-0.99421	-0.6661
450	1.7072	0.32896	-1.0875	-1.1191	-0.17739	-0.30053
468	1.7255	-0.041491	-0.91518	-0.93844	-0.70279	-0.026492
